,transaction_amount,quantity,customer_age,is_fraudulent,account_age_days,transaction_hour,transaction_day,transaction_month,encoded_payment_method,encoded_product_category,encoded_device_used
1,292.86,3,22,0,148,3,3,1,3,3,1
2,31.46,4,32,0,146,6,5,1,3,4,0
3,41.78,5,27,0,216,15,4,3,1,0,1
5,119.58,5,26,0,215,3,0,3,0,2,0
6,273.27,1,30,0,264,1,1,1,1,3,0
7,45.62,2,32,0,122,20,1,3,3,4,2
8,389.96,5,30,0,91,19,4,2,1,1,0
9,128.84,3,32,0,69,9,5,1,1,1,0
10,30.63,2,36,0,334,13,4,3,1,3,2
11,43.7,1,22,0,167,2,6,3,3,3,0
12,417.21,4,40,0,133,13,5,2,1,1,2
13,219.24,5,32,0,191,0,4,2,0,0,2
14,341.32,1,29,0,29,15,2,1,2,0,1
15,37.96,5,29,0,340,22,1,2,0,4,0
16,340.14,3,45,0,324,14,6,1,2,4,0
17,164.67,3,30,0,303,11,0,4,3,2,2
18,731.5,3,40,1,20,0,6,2,0,1,2
20,166.24,1,37,0,206,7,1,2,2,4,2
21,1151.25,2,42,0,238,1,4,1,0,0,2
22,369.23,2,45,0,133,4,3,1,3,0,0
23,616.98,4,31,0,243,23,3,1,2,4,2
26,48.14,2,29,0,279,7,3,3,2,3,1
27,490.47,1,17,0,13,1,2,1,1,1,2
28,72.12,2,43,0,177,21,2,3,0,3,0
29,486.52,2,28,0,339,15,6,3,2,0,1
30,91.75,4,31,1,6,5,2,1,3,3,2
31,192.46,5,26,0,48,17,1,2,2,1,2
32,82.71,2,44,0,14,19,3,1,1,3,0
33,113.44,3,26,0,288,23,5,3,1,2,1
34,47.42,2,38,0,88,13,1,2,3,4,0
35,13.06,3,22,0,142,6,1,3,3,4,0
36,94.41,5,37,0,267,18,3,2,0,4,2
37,110.55,4,35,0,176,4,3,2,2,4,0
38,155.16,5,40,0,265,23,4,2,2,1,0
39,319.09,5,26,0,114,13,2,1,0,0,0
40,33.28,4,19,1,359,0,3,1,0,2,2
42,91.14,3,22,0,305,4,3,3,0,4,0
43,70.92,5,58,0,266,17,4,1,1,2,2
44,239.76,2,18,0,249,2,0,3,0,4,1
45,485.61,5,31,0,239,6,6,3,1,3,2
46,27.68,5,24,0,29,18,4,1,1,0,0
47,169.25,1,43,0,72,3,5,2,0,4,1
48,192.22,5,19,0,13,17,4,1,3,0,2
49,338.42,5,37,0,318,16,6,2,1,2,1
50,24.33,4,45,0,278,12,3,1,0,2,0
51,150.11,2,45,0,198,2,0,3,3,0,1
52,234.62,5,30,0,271,7,6,3,0,0,1
53,34.32,5,35,0,26,2,0,2,3,2,1
54,431.57,3,40,0,315,1,3,3,3,2,1
55,829.63,2,39,1,13,16,5,1,1,4,0
56,941.74,2,29,0,9,17,2,3,1,0,1
57,70.01,1,44,0,27,6,1,3,2,1,2
58,281.74,3,30,0,22,17,0,2,3,2,0
59,293.99,5,33,0,322,21,4,1,2,2,2
60,90.1,2,22,0,239,23,3,1,2,3,2
61,29.58,1,38,0,340,15,0,3,0,2,0
62,443.42,2,35,0,208,10,3,2,3,4,2
63,661.66,5,54,0,67,6,5,2,1,4,1
64,149.87,1,17,0,87,16,2,3,2,0,0
65,150.66,2,22,0,227,19,4,1,2,0,0
66,57.79,2,44,0,245,4,0,2,1,0,2
67,137.5,2,37,0,45,10,4,3,2,3,0
68,264.99,4,33,0,90,10,6,3,3,4,1
69,57.48,4,22,0,194,15,2,3,0,0,1
70,321.8,5,37,0,308,5,6,2,1,1,0
71,233.79,2,16,0,70,22,6,2,1,1,0
72,19.7,1,32,0,31,4,5,3,1,2,0
73,268.44,5,39,0,340,5,4,2,0,0,2
74,142.51,4,44,0,155,2,6,3,1,1,1
75,593.65,4,38,0,292,2,2,4,0,4,0
76,930.05,5,48,0,165,2,6,3,2,0,1
77,152.27,3,39,0,41,18,1,2,1,2,1
78,329.76,3,36,0,273,7,2,2,1,0,1
79,37.48,4,47,0,37,10,0,1,0,1,2
81,248.86,5,49,0,199,5,6,3,2,2,2
82,138.66,3,26,0,329,1,6,2,1,2,1
83,181.03,4,41,0,164,8,0,3,3,0,1
84,88.21,1,51,0,309,21,0,3,3,2,1
85,1057.42,5,31,0,347,15,5,2,1,0,2
86,259.95,2,27,1,14,5,6,3,3,0,0
87,63.38,2,37,0,166,9,1,2,3,4,0
88,120.41,1,21,0,249,22,2,3,3,2,1
89,320.85,4,41,0,91,11,6,3,3,0,1
90,115.13,2,42,0,277,17,4,3,0,0,0
91,108.61,5,29,0,13,2,0,1,0,4,2
92,153.34,5,42,0,60,2,3,3,3,4,1
93,326.56,3,35,0,232,18,2,1,3,2,1
94,38.04,2,31,0,175,22,0,4,3,4,1
95,203.65,5,48,0,208,22,6,3,3,0,2
96,104.82,3,57,0,49,1,3,2,0,0,0
97,16.41,5,38,0,192,2,2,1,3,1,0
98,290.03,2,17,0,125,15,4,3,1,0,0
99,256.3,5,41,0,259,18,4,3,2,0,0
100,284.02,5,32,0,271,10,0,2,2,2,0
101,11.18,4,36,0,23,22,3,3,2,3,2
102,834.25,4,33,0,328,2,4,2,0,3,0
103,65.9,5,24,0,277,8,1,1,3,0,0
104,35.55,1,38,0,284,23,2,1,1,2,2
105,637.88,2,34,0,227,7,1,1,2,4,1
106,657.08,4,41,0,18,18,1,3,2,3,1
107,18.34,1,26,0,238,20,1,2,0,4,1
108,536.66,3,26,0,311,1,3,3,3,1,2
109,27.41,4,16,0,301,3,5,3,2,4,1
110,203.23,2,35,0,291,2,4,3,2,3,2
111,116.22,1,22,0,184,1,4,1,1,3,0
112,158.38,5,27,0,254,15,5,1,2,1,1
113,170.37,4,25,0,172,12,6,2,1,4,2
114,325.61,4,33,0,273,12,0,1,0,2,0
115,280.24,4,31,0,109,2,4,1,1,3,1
116,136.54,2,33,0,219,12,1,1,1,3,0
117,148.64,5,36,0,269,12,1,2,3,4,2
118,224.9,4,26,0,213,19,1,2,1,3,0
119,64.46,2,29,0,231,2,6,1,2,3,2
120,31.81,1,37,0,11,16,6,1,1,3,2
121,337.82,1,27,0,126,4,4,3,3,4,1
122,498.37,2,37,0,100,15,5,2,3,4,2
123,109.72,3,24,0,70,6,5,2,2,1,0
124,107.62,1,33,0,143,9,3,3,2,0,0
125,605.87,2,36,0,294,17,5,3,0,1,1
126,138.1,3,48,0,45,0,0,2,2,4,2
127,236.41,3,35,0,130,2,5,2,2,2,0
129,58.15,4,46,0,34,22,5,3,0,3,1
130,147.07,4,46,0,219,1,6,1,3,1,0
131,241.92,5,22,0,25,7,1,3,2,3,2
132,928.41,1,35,0,94,3,6,2,0,1,0
133,180.16,1,59,0,261,23,0,2,0,4,0
134,57.92,5,62,0,353,20,2,1,2,2,2
135,53.42,5,34,0,129,16,3,2,3,1,0
136,300.05,4,43,0,33,14,1,2,3,3,2
137,128.52,3,31,0,280,14,6,1,3,3,1
138,109.35,5,35,0,3,6,2,2,2,2,1
139,38.66,5,36,0,140,13,0,1,0,3,1
140,84.59,2,28,0,118,2,3,1,1,4,1
141,21.04,5,30,0,337,0,0,2,2,0,1
142,21.91,4,41,0,101,2,2,4,1,1,2
143,189.37,3,24,0,23,18,5,2,0,1,0
144,183.2,3,19,0,91,0,4,2,2,2,0
145,243.66,1,22,0,184,18,6,1,3,4,0
146,133.41,5,27,0,62,13,2,3,1,4,0
147,134.28,1,27,0,67,19,1,3,1,0,0
148,360.25,1,36,0,108,16,4,3,0,3,0
149,380.56,4,33,0,22,22,5,1,2,3,2
150,320.48,5,41,0,354,12,1,3,0,0,2
151,235.94,4,17,0,15,3,0,1,3,2,1
152,243.63,2,38,0,174,12,2,2,2,0,0
153,24.76,3,22,0,274,21,5,1,3,1,1
154,101.9,3,39,1,10,2,1,3,1,0,0
155,44.66,2,25,0,154,9,1,1,0,2,2
156,130.19,2,34,0,74,9,2,2,3,4,2
157,53.49,1,36,0,80,7,6,3,0,2,1
158,126.32,1,37,0,302,14,2,1,0,2,0
159,89.1,4,40,0,124,23,3,2,1,3,1
160,130.13,5,26,0,277,15,4,1,0,0,2
161,354.54,2,28,0,113,6,1,1,1,2,2
162,1068.06,5,32,0,154,19,6,1,0,3,1
163,100.25,2,67,0,5,10,5,3,2,2,0
164,283.32,1,36,0,214,21,4,2,3,3,0
165,108.81,3,38,0,185,8,4,1,0,0,2
166,838.67,1,41,0,95,2,5,3,2,3,1
167,326.65,1,37,0,286,17,4,3,0,3,1
168,389.72,1,42,0,280,1,5,2,2,0,1
169,109.04,3,25,0,55,10,5,3,1,1,1
170,171.2,3,38,0,210,17,3,2,0,1,1
171,940.71,4,25,0,194,12,3,3,3,0,2
172,77.1,4,42,0,159,13,0,1,1,1,1
173,36.09,2,39,0,324,12,2,1,2,0,2
174,485.11,5,51,0,110,12,1,1,2,1,2
175,447.66,4,26,0,308,0,3,3,0,4,2
176,30.1,2,55,0,148,0,2,1,3,0,0
177,50.67,4,34,0,271,1,6,3,1,0,0
178,172.19,2,31,0,52,11,0,1,1,4,0
179,36.67,2,25,0,359,7,2,4,2,3,2
180,225.85,1,34,0,300,13,4,1,0,0,2
181,71.53,4,32,0,241,6,5,2,1,0,2
182,244.06,5,46,0,212,3,6,2,2,4,1
183,324.61,2,33,0,204,2,1,3,1,3,0
184,209.65,5,29,0,148,4,4,2,3,4,0
185,836.81,4,26,0,156,9,1,1,0,0,0
186,334.15,3,65,0,334,14,2,1,0,0,0
187,44.17,1,31,0,12,4,3,3,2,3,1
188,218.14,3,26,0,175,23,3,3,1,3,2
189,79.41,3,28,0,317,6,0,2,0,3,1
190,132.64,3,24,0,172,22,6,1,1,0,2
